S/N,Category,Question type,Difficulty level,Question
156,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which PJM price hub had the highest day-ahead average price in January 2024?
157,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Show me monthly average of day-ahead prices for PJM AEP generation hub in 2023
158,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,During which month did wind have the highest total MWh output in PJM in 2023?
159,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,How did wind generation compare in PJM between 2020 to 2024?
160,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which NYISO load zone had the highest real-time average price in January 2024?
161,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Show me monthly average of day-ahead prices for NYISO zone J in 2023
162,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,During which month did wind have the highest total MWh output in NYISO in 2023?
163,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,How did wind generation compare in NYISO between 2020 to 2024?
172,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which MISO price hub had the highest day-ahead average price in January 2024 ?
177,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Show me monthly average of day-ahead prices for ISONE Connecticut load zone in 2023
178,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,During which month did solar have the highest total MWh output in ISONE in 2023?
179,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,How did solar generation compare in ISONE between 2020 to 2024?
180,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which ISO had the most battery storage in the queue as at the end of 2024?
181,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL interconnection queue data for NYISO got completed in under 5 years? Use as much of the queue data as possible to get realistic outcomes
182,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL interconnection queue data for PJM got completed in under 5 years? Use as much of the queue data as possible to get realistic outcomes
183,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL interconnection queue data for ERCOT got completed in under 5 years? Use as much of the queue data as possible to get realistic outcomes
184,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL interconnection queue data for SPP got completed in under 5 years? Use as much of the queue data as possible to get realistic outcomes
185,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL interconnection queue data for CAISO got completed in under 5 years? Use as much of the queue data as possible to get realistic outcomes
186,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL interconnection queue data for MISO got completed in under 5 years? Use as much of the queue data as possible to get realistic outcomes
187,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL interconnection queue data for ISONE got completed in under 5 years? Use as much of the queue data as possible to get realistic outcomes
190,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in California, within PG&E's territory, based on the OpenEI tariffs data? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too."
192,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in Michigan, within Xcel Energy's service territory, based on the OpenEI tariffs data? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too."
193,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in Maryland, within Baltimore Gas and Electric's service territory, based on the OpenEI tariffs data? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too."
194,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in Chicago, based on the OpenEI tariffs data? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too."
195,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in Minneapolis, based on the OpenEI tariffs data? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too."
199,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What Con Edison commercial customer service class pays the highest demand charge in Manhattan based on OpenEI tariffs data?
204,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the docket numbers for the filings Google submitted to FERC between June and December 2024? Use your FERC docket tool
205,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"Find the docket numbers for the FERC filings with ""interconnection"" keyword made by PJM between June 1 and June 15, 2024. Use your FERC docket tool"
207,Knowledge retrieval and interpretation,Data retrieval and analysis without sources,Hard,Which top 3 entities had the most number of filings in FERC's rule making proceedings on large load interconnection in December 2025?
208,Knowledge retrieval and interpretation,Data retrieval and analysis with sources,Hard,How do the capacity charges vary for commercial customers with demand >500 kW across each state served by Xcel Energy based on data from Open EI tariffs data?
209,Knowledge retrieval and interpretation,Data retrieval and analysis without sources,Hard,"Group interconnection-related FERC filings (use keyword ""interconnection"") made by PJM (and not other PJM related entities) in June 2024 into 3 categories (Interconnection & Service Agreements, Tariff, Market Rules & Governance, Litigation, Procedural & Stakeholder Participation) based on the descriptions and indicate the docket numbers for each of the buckets"
210,Knowledge retrieval and interpretation,Data retrieval and analysis with sources,Medium,Which top 3 entities had the most number of filings in FERC's rule making proceedings on large load interconnection between October and December 2025? You should first find the docket number and use your FERC tool to get the filings before analyzing
211,Knowledge retrieval and interpretation,Data retrieval and analysis with sources,Medium,"Group interconnection-related FERC filings (use keyword ""interconnection"") made by PJM (and not other PJM related entities) in June 2024 into 3 categories (Interconnection & Service Agreements, Tariff, Market Rules & Governance, Litigation, Procedural & Stakeholder Participation) based on the titles and indicate the docket numbers for each of the buckets. Use your FERC docket tool to get interconnection-related filings by PJM"
212,Knowledge retrieval and interpretation,Data retrieval and analysis with sources,Medium,Compare special tariffs applying to data centers in Virginia vs Texas based on your data center tariffs database only. Provide the response in this format 1. Main tariffs for Texas 2. Main tariffs for Virginia 3. Tabular comparison between both
213,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in Virginia? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too.
214,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in North Carolina? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too.
215,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What demand charges apply to commercial customers with demand >500 kW in California, within PG&E's territory? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too."
216,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in New York City? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too.
217,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What demand charges apply to commercial customers with demand >500 kW in Michigan, within Xcel Energy's service territory? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too."
218,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What demand charges apply to commercial customers with demand >500 kW in Maryland, within Baltimore Gas and Electric's service territory? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too."
219,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in Chicago? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too.
220,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in Minneapolis? Answer should contain service class name and demand charge for at least 2 classes. Do not consider service classes without demand charges. Reported demand charge value answers should include adjustment rates too.
221,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What Dominion Energy commercial customer service class pays the highest demand charge in Virginia?
222,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What SMUD commercial customer service class pays the highest demand charge in California?
223,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What Duke Energy Progress commercial customer service class pays the highest demand charge in North Carolina?
224,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What Con Edison commercial customer service class pays the highest demand charge in Manhattan, New York City?"
225,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What Consumers Energy commercial customer service class pays the highest demand charge in Grand Rapids, Michigan?"
226,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What BGE commercial customer service class pays the highest demand charge in Maryland?
227,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What Com Ed commercial customer service class pays the highest demand charge in Chicago?
228,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What Xcel energy commercial customer service class pays the highest demand charge in Minneapolis?
229,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the docket numbers for the filings Google submitted to FERC between June and December 2024?
230,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"Find the docket numbers for the FERC filings relating to interconnection made by PJM between June 1 and June 15, 2024."
231,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,Give me 3 examples of tariffs that could apply to data centers within Austin Energy's territory in Texas
232,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Compare arbitrage net revenues (i.e excluding charging cost and other operational costs) only for a 100 MW 2-hour battery based on 2023 day-ahead market prices in ERCOT West Hub vs PJM AEP Hub. Assume roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%"
233,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,Compare potential real-time revenues for a 100 MW solar PV farm in Abilene Texas (with ERCOT West Hub prices) vs Houston (ERCOT Houston Hub) based on 2023 data. Assume the solar farms have double-axis tracking panels and no curtailments associated with the farms. You can assume overall system loss for the farms stands at 10%
234,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"Compare unlevered project IRR for a potential 100 MW 4-hour standalone battery project in ERCOT West vs PJM AEP Hub with a 15-year lifespan. Assume day-ahead revenues based on 2023 prices, roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%, capex is $2200/kW. Include relevant federal tax assumption and assume batteries still get 30% ITC. Ignore all other types of taxes. IRRs should be to nearest whole number"
235,Advanced quantitative modeling and decision analytics,Model development with data retrieval and analysis with sources,Hard,"Build a battery optimization model that estimates annual revenue based on energy arbitrage only and test it with 2023 real-time prices for ERCOT West Hub and a 100 MW 2-hour battery. Your model should at the very least include assumptions about round trip efficiency (use 81%), state of charge limits (10% to 90%), and degradation cost ($25/MWh)"
236,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"If a theoretical 1 MW CCGT located in Houston with a 6500 Btu/kWh heat rate and gas price purchase at Henry Hub prices is completely out for maintenance in April and October but available at other times and only runs when it is economical to do so (i.e. market prices are greater than marginal fuel cost), how much would it have made in ERCOT's day-ahead market assuming 2024 prices vs 2023 prices?"
237,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,"Compare day-ahead market price volatility across the PJM AEP, ERCOT West and ISONE Connecticut load zones in 2023"
238,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Hard,"Based on 2024 real time prices in NYISO's zone J, what period of the day do loss LMP components tend to be more significant and why?"
239,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"Assuming ERCOT solar PPA prices including RECs were $28/MWh, $40/MWh, $45/MWh and $46/MWh from 2021 to 2024, how would merchant revenues for solar assets in ERCOT west compare with these PPA revenues with REC-only prices at $2.5/MWh? Asuume there is no curtailment and solar production is consistnet with overall ERCOT solar production profile"
240,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"If I had a wind asset in ERCOT West and a solar asset with the same capacity in CAISO SP15 zone in 2024, which one would make me the most merchant revenue assuming real time market prices only and no curtailment in both regions. Use revenue numbers in $/MWh for the comparison"
241,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,Which ISO in the US has had the highest percentage change in congestion costs from 2017 to 2024? Explain justification for the changes for that ISO
242,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Hard,What ERCOT region had the highest concentration of batteries with normalized revenues in the top quartile based on 2024 data? How does this compare with 2021 to 2023?
243,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Hard,In which month of the year do batteries in ERCOT always have the largest variation in normalized daily day-ahead revenue based on 2021 - 2024 data? Feel free to explain your answer if you find other observations based on the patterns in the data
244,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"How should I have dispatch a CT in Houston with Henry Hub gas prices during summer months to maximize revenue assuming it has an heat rate of 10,000 Btu/Kwh and is exposed to 2024 real time prices at ERCOT Houston Hub? You should exclude other assumptions like fixed O&M, variable O&M etc. You should also provide the total revenues with and without September as an additional month to the summer months"
245,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"If a 4-hour battery earns revenues from arbitrage only in ERCOT West hub over 15 years, what should the $/MW capex be to earn 13% IRR? Assume roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%, prices from 2010 to 2024 represent the 15-year window"
246,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,In which month of the year is a wind plant in ERCOT West most likely to make the highest revenue based on 2021 to 2024 data?
247,Advanced quantitative modeling and decision analytics,Forecasting plus data retrieval and analysis,Hard,"Using regression methods or any time series forecasting approach of your choice, build a forecast model that can predict hourly demand in NYISO zone J. Assume the model is going to be run at the beginning of every month to get the forecasted hourly demand for the month. Use data from December 2025 as your test set and available data from January 2024 to November 2025 from your NYISO database for training. You can also use any external variables that you find relevant as long as you are able to get the data. Do not use variables for which you are unable to get the data. You should be as efficient as possibel and try to get the lowest MAPE value. Your output should include the following:

Summary of modeling steps:
Model type:
Model parameters:
Accuracy metric (MAPE)"
248,Advanced quantitative modeling and decision analytics,Forecasting plus data retrieval and analysis,Hard,"Using regression methods or any time series forecasting approach of your choice, build a forecast model that can predict day-ahead hourly prices in NYISO zone J. Assume the model is going to be run at the beginning of every week to get the day-ahead market prices forecasts for week. Use data from December 21 - 27, 2025 as your test set  and December 1 - 20, 2025 from your NYISO database for training. You can also use any external variables that you find relevant as long as you are able to get the data. Do not use variables for which you are unable to get the data. Be as efficient as possible and try to get the lowest MAPE without overfitting. Your output should include the following:

Summary of modeling steps:
Model type:
Model parameters:
Accuracy metric (MAPE)"
249,Advanced quantitative modeling and decision analytics,Forecasting plus data retrieval and analysis,Hard,"Using regression methods or any time series forecasting approach of your choice, build a forecast model that can predict hourly demand in ERCOT. Assume the model is going to be run at the beginning of every month to get the forecasted hourly demand for the month. Use data from December 2025 as your test set and available data from January 2024 to November 2025 from your ERCOT database for training. You can also use any external variables that you find relevant as long as you are able to get the data. Do not use variables for which you are unable to get the data. Be as efficient as possible and try to get the lowest MAPE without overfitting. Your output should include the following:

Summary of modeling steps:
Model type:
Model parameters:
Accuracy metric (MAPE)"
250,Advanced quantitative modeling and decision analytics,Forecasting plus data retrieval and analysis,Hard,"Using regression methods or any time series forecasting approach of your choice, build a forecast model that can predict day-ahead hourly prices in ERCOT Houston Hub. Assume the model is going to be run at the beginning of every week to get the day-ahead market prices forecasts for week. Use data from December 21 - 27, 2025 as your test set and December 1 - 20, 2025 from your ERCOT database for training. You can also use any external variables that you find relevant as long as you are able to get the data. Do not use variables for which you are unable to get the data. Be as efficient as possible and try to get the lowest MAPE without overfitting. Your output should include the following:

Summary of modeling steps:
Model type:
Model parameters:
Accuracy metric (MAPE)"
93,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service across all regions in CAISO had the highest average price during summer of 2022 based on data from your GridStatus API?
